"words","frec"
"argentina",2149
"mundo",1933
"messi",1784
"mundial",1617
"mejor",1301
"campeon",1267
"copa",1102
"final",832
"futbol",657
"gracias",648
"jugador",606
"lionel",566
"campeones",455
"historia",450
"mbappe",415
"martinez",414
"dibu",413
"francia",394
"anos",321
"qatar",308
"felicidades",302
"seleccion",298
"fernandez",287
"enzo",280
"grande",267
"penales",238
"joven",234
"vamos",223
"gran",216
"partido",211
"tras",206
"ahora",200
"argentinos",199
"foto",195
"despues",182
"equipo",180
"momento",175
"arquero",172
"tercera",172
"balon",170
"titulo",170
"ganar",164
"goles",162
"gano",160
"argentino",155
"kylian",154
"premio",148
"solo",146
"siempre",143
"mundiales",140
"campeona",135
"goleador",132
"emiliano",130
"vida",129
"guante",125
"albiceleste",124
"bien",121
"jugadores",116
"mejores",115
"toda",115
"hizo",112
"portero",108
"triunfo",108
"tambien",107
"felicitaciones",106
"maradona",104
"merecido",102
"trofeo",102
"torneo",100
"cumbia",98
"pais",98
"fifa",97
"levanta",97
"tiempos",97
"levantar",95
"imagen",94
"andres",93
"cent",92
"bota",91
"gana",91
"alegria",87
"dios",87
"luego",87
"feliz",86
"logro",85
"maximo",84
"acabo",80
"mano",80
"maria",80
"tercer",80
"nunca",79
"enhorabuena",78
"victoria",78
"diego",76
"sueno",73
"penal",72
"america",70
"lleva",70
"carajo",69
"felicidad",69
"levantando",68
"muchas",68
"futbolista",67
"deporte",65
"elegido",65
"sudamerica",65
"campeonato",64
"puede",64
"tanda",64
"visto",64
"hermoso",63
"scaloni",63
"partidos",62
"tiempo",62
"bueno",61
"hace",61
"ultimo",61
"beso",60
"nadie",60
"medalla",59
"sera",59
"estadio",56
"estrella",56
"muchachos",56
"penaltis",56
"tres",56
"celebra",55
"emocion",55
"mexico",54
"grandes",53
"lugar",53
"premios",53
"carrera",52
"ganado",52
"nuevo",52
"presidente",52
"quiero",52
"aqui",51
"buenos",51
"capitan",51
"gente",51
"haber",51
